text,label
Catat! Pelanggar Pembatasan Sosial di Papua Bisa Dikenakan Pasal Berlapis,0
"Bukan Hewan Liar, Ini 5 Sarapan Khas Wuhan yang Terkenal Enak",0
PBB Jatuhkan Sanksi atas Penyadapan Australia di Indonesia Jelang KTT G20,1
Kemkominfo Hapus Sebagian Situs-situs Islam,1
"Sweta Kartika, dari 'Nusantaranger' Kini Tulis Novel Grafis Horor",0
Akun WhatsApp Kepala Dinas Pekerjaan Umum Kutai Kartanegara Wiyono,1
"Dikritik Gubsu Edy soal RTH 7%, Pemko Medan Curhat Kurangnya Anggaran",0
Madagaskar Keluar dari WHO Karena Skandal Covid-19,1
Lowongan Kerja Mengatasnamakan Dinas Kesehatan Kabupaten Madiun dan Kabupaten Sukabumi,1
Krakatau Steel Dapat Keringanan Bayar Utang Rp 27 Triliun,0
Bikin Kangen! SNSD Reuni Nyanyikan Lagu 'Kissing You',0
"Imbas Corona, Gereja Tempat Kelahiran Yesus Ditutup",0
Resmikan Agama Yahudi Menag; Kita Harus Terima Perbedaan,1
BCA Menawarkan Tarif Transfer Antarbank Menjadi Rp0,1
"Update Kasus Corona Jakarta: 356 Positif, 22 Sembuh dan 31 Meninggal",0
Cara Deteksi Ponsel Disadap Menggunakan Nomor IMEI,1
Surat Pengangkatan Honorer Jadi PNS Mengatasnamakan Kementerian PANRB,1
"Cerita Hayati, Warga di Natuna yang Kini Tak Lagi Waswas",0
Pijat Bayi Pakai Air Teh Keluar Duri,1
MA Telah Menetapkan Jokowi sebagai Tersangka Kasus Kebakaran Hutan dan Lahan,1
"Ada New Normal, UMKM Sudah Siap Belum?",0
"Jelang Pengumuman Hasil Autopsi Lina, Teddy Terus Mengawal",0
Bupati Melawi Melawan Stigma Usai Dinyatakan Positif Corona,0
Pos Polisi Tugu Tani Dibakar Pedemo,1
Narasi dalam Poster AHY Ketua Umum Partai Demokrat Periode 2020-2025,1
Pengungsi Rohingya Tiba di Pekanbaru Lalu ke Pulau Galang pada Desember 2023,1
Pariwisata Asia-Pasifik Diprediksi Cepat Bangkit pada 2021,0
Akun WhatsApp Mengatasnamakan Asisten Pemerintahan dan Kesejahteraan Rakyat Setda Kabupaten Bojonegoro Djoko Lukito,1
Mobil Otonom Masa Depan Honda,0
Banyak Orang Pingsan Kekurangan Oksigen saat Mengantre di iBox PIK Avenue,1
"Gagal Bayar, Ini Cara Koperasi Indosurya Gaet Nasabah Bank",0
"Update Corona di RI 26 Mei: Kasus Positif 23.165, Sembuh 5.877, Meninggal 1.418",0
Kader PDIP Solid karena Minum Air Cucian Kaki Megawati,1
Tentara Irak Menangkap Pria Tua Pembawa Bom,1
"Mahfud Anggap Keliru Sudah Biasa dalam Susun Rancangan UU, PKS: Bahaya",0
"Zulhas Terpilih Lagi Jadi Ketum, PAN Akan Merapat ke Jokowi?",0
Foto Prosesi Pemakaman Ibunda Jokowi Tidak Dimandikan dan Tidak Dishalati Karena Corona.,1
"Pakai Protokol Corona, Menkum Yasonna Lantik Irjen Reynhard Jadi Dirjen PAS",0
Nissan GT-R yang Dikemudikan Wakil JA Sempat Tabrak Pembatas Jalan Tol,0
Seseorang Mengklaim Sudah Berhasil Membobol Data Seluruh Anggota Polri,1
Waduh! Ada Puluhan Bangkai Cicak Bersarang Dalam Rice Cooker,0
Pinjaman Online Kospin JASA Melalui Pesan WhatsApp,1
Video Penampakan di Api Unggun Ciracap Sukabumi,1
"Mobil Digadai Tak Mampu Ditebus, Berapa Lama Sebelum Masuk Lelang?",0
"Gara-gara Uang, Pemuda di Deli Serdang Ancam Ortu Pakai Parang",0
Pesan Berantai Indonesia Giveaway dari Trans7,1
Pernyataan Lengkap Terbaru Pemerintah soal 5.136 Kasus Positif Corona,0
Surat Pernyataan Kemkomdigi Terhadap Aplikasi DAZZ Live,1
Akun Facebook Palsu Mengatasnamakan BPJS Kesehatan,1
Teh Pucuk Harum Mengandung Bahan Pengawet Berbahaya dan Pemanis Buatan,1
Mengenang Sosok Glenn Fredly yang Kritis dan Peduli Sesama,0
Tautan Bergambar Avatar Presiden dan Wapres untuk Daftar Bansos PKH 2025,1
Pemerintah Resmi Tetapkan 11 Mei 2021 sebagai Lebaran Idul Fitri 1442 H,1
Kepala BPS Ungkap Tantangan Kumpulkan Data di Tengah Corona,0
Masyarakat Diminta Perbanyak Pergi ke Masjid di Masa PPKM Darurat,1
Vaksin Covid-19 Ditanami Barcode yang akan Masuk pada Tubuh Manusia,1
Ringgo Agus Rahman: Adi Kurdi Panutan Berkarya dan Berperilaku,0
Presiden Jokowi Kirim Ribuan Pasukan ke Eropa,1
Presiden Joko Widodo Menemukan 12 Dokumen Rahasia Buat Prabowo Subianto Tidak Bisa Jadi Presiden,1
Simbol illuminati di Masjid Al Safar Rancangan Ridwan Kamil,1
Pengungsi Rohingya Direkrut Datang ke Aceh untuk Coblos Anies Baswedan,1
Polisi Pastikan Terminal Kampung Rambutan Kondusif Pascakeributan,0
Pesona Gili Meno yang Dirindukan,0
"Galeri Foto Heboh Karena Adu Mulut, Bupati Lumajang Hobi Panen dan Makan di Sawah",0
Julia Butters Bawa Bekal Sandwich Kalkun ke Perhelatan Oscar 2020,0
HNW Minta Pelajar Jangan Buat Tembok Pemisah dengan Masyarakat,0
Mendapat Vaksin Covid-19 Sebanyak Empat Kali akan Meruntuhkan Sistem Kekebalan Tubuh,1
"Seluk Beluk Lockdown, Opsi yang Diambil Sejumlah Negara Terpapar Corona",0
Raut Wajah Bahagia Roro Fitria Keluar dari Penjara,0
Cara Mencegah Penularan Virus Corona Melalui Mata,0
"Datangi Tongkrongan di Jaksel Semalam, Polisi Imbau Warga Pulang",0
Rekapan Nama Caleg Yang Lolos ke DPRD Manado 2019-2024,1
"Video Call Halunya Bikin Baper, Aurelie Moeremans Awalnya Takut",0
Pelaku Penculikan Anak di Kecamatan Ciwidey,1
Lowongan Staf Vaksinasi Booster Dinas Kesehatan Provinsi Jawa Barat,1
Pesan WhatsApp Mengatasnamakan Kepala Seksi Intelijen Kejaksaan Negeri Tanjung Jabung Barat Muhammad Lutfi,1
"KPK Hentikan 36 Kasus Korupsi, Firli: Bukan Hal Aneh",0
Tok! DPR Setuju Perppu Corona Disahkan Menjadi UU,0
"Vaksin Corona Belum Tersedia, Ilmuwan AS Minta Jangan Terlalu Diharapkan",0
Gemas! Gajah Imut Ini Asyik Makan Bareng Pawangnya hingga Comot Nasi,0
Pengalihan BPJS Kesehatan Mandiri ke Gratis Cukup dengan Klik Tautan,1
Presiden Tiongkok Siap Biayai Pembangunan Kiblat Baru Umat Islam Nusantara,1
Grup Telegram Mengatasnamakan Ternak Uang,1
"Update Corona Per 24 Mei: Positif 22.271, 5.402 Sembuh, 1.371 Meninggal",0
WHO Minta Pemerintah Bersiap dengan Mega Lockdown,1
Smart TV LG Dapat Fitur Perintah Suara Bahasa Indonesia,0
TV Nasional Belum Siarkan Berita Terkait Banjir yang Melanda Kalsel,1
Panggung Broadway New York Tak Gentar pada Corona,0
"Gadis di Tulungagung Disetubuhi Pacar saat Datang Bulan, Kenali 4 Risikonya",0
"Bertambah 330, Kasus Virus Corona di Indonesia Capai 3.842 Per 11 April",0
Surat Mengatasnamakan Deputi Gubernur Bank Indonesia,1
Video Tata Cara Pertolongan Pertama Penyakit Stroke dengan Menekan Bagian Bawah Hidung,1
Merebus Ulang Air Matang Dapat Sebabkan Racun yang Menimbulkan Penyakit Parah,1
Indonesia Dapat Rating Layak Investasi dari Moody's,0
Fakta Lia Ladysta yang Dipolisikan Syahrini,0
Foto: Lonceng yang Melambangkan Solidaritas di Swiss,0
Video Jemaah Salat Sambil Joget,1
"Tak Terima Diviralkan, Polisi 'Pengokang Senpi' Bikin Aduan",0
Alasan H(ART)BOUR Festival Gandeng Belasan Seniman Muda Kontemporer,0
Penerima Dana Bantuan Senilai Rp125 Juta Mengatasnamakan BPJS Kesehatan,1
Akun Facebook Mengatasnamakan Walikota Jakarta Selatan,1
Komite Penyelamat Minta KASN Hentikan Proses Seleksi PAW Dirut TVRI,0
Tak Ada Bukti Corona Bisa Menyebar Lewat Makanan yang Dibeli di Supermarket,0
Perang Dunia III akan Meletus pada November 2023,1
Menteri Agama Yaqut Cholil Qoumas Minta Polisi untuk Jaga Masjid saat Ibadah Tarawih untuk Cegah Radikalisme,1
500.000 Akun Zoom Dijual di Dark Web,0
"Nazar Jelang Pensiun, Presiden Joko Widodo Bagikan Rp50 Juta di TikTok",1
Presiden Jokowi Angkat Susi Pudjiastuti Gantikan Edhy Prabowo,1
Akun WhatsApp Mengatasnamakan Sekretaris Diskominfosan Kabupaten Sukabumi Yusep Nofriyadie Barnasyah,1
Oscar Jawab Kritik 'Tanpa' Wanita,0
"Uji Klinis Berhasil di AS, Jepang Ikut Gunakan Remdesivir untuk Obati Corona",0
PT Pelabuhan Indonesia (Persero) Buka Lowongan Pekerjaan dengan Gaji Puluhan Juta Rupiah,1
Surat Tagihan Pajak Penghasilan (PPh) Mengatasnamakan Bank Indonesia,1
Vladmir Putin Menurunkan 800 Harimau dan Singa agar Warga Tinggal di Rumah,1
Toyota Supra Pertama Bertransmisi Manual,0
Lowongan Kerja di Starbucks Palangka Raya,1
Pendaftaran Bantuan Indonesia Peduli Bersama untuk Pekerja Migran,1
71 Pasien Positif Covid Klaster Hajatan Boyolali,1
"Empat Orang Sempat Positif, 28 Warga Pinang Ranti Tes Swab Corona",0
Ketua MPR Ajak Kuatkan Nilai Pancasila agar Tetap Semangat Hadapi Corona,0
Global Landscapes Forum 2020: Indonesia Inspirasi bagi Dunia,0
Video Banjir Bandang di Jakarta,1
Sebuah Pondok Pesantren di Malang Tak Punya Foto Bendera Merah Putih,1
Foto Jutaan Warga Jerman yang Demo Terkait Covid-19 pada 1 Agustus 2020,1
"BTS Masuk Daftar Seleb Termahal Dunia, Segini Pendapatannya",0
Gus Miftah Pernah Persekusi Pengajian Felix Siauw,1
"Jaga Pos PSDD Jayapura, Polisi Terluka Akibat Ditabrak Sopir Mabuk",0
GOR Ciracas Jadi Tempat Penampungan Sementara Tunawisma,0
Spanduk Jokowi Selamat dan Sukses Atas Tertipunya Seluruh Rakyat Indonesia,1
DPRA Desak Pemprov Evakuasi Mahasiswa Aceh di Wuhan China,0
Wamenag: Reuni 212 Berpotensi Menimbulkan Dosa,1
Surat Edaran PLN Sediakan Peminjaman Genset,1
Pencurian di Galaxy Mall 3 Surabaya,1
Ini Fiqih Model Baru Imamnya 2 Di Atas Panggung,1
"Terdampak Corona, Google Beri Ribuan Chromebook Untuk Siswa",0
Sanksi Langgar PSBB di Kabupaten Tangerang: Push Up 100 Kali-Denda Rp 200.000,0
"Papua Punya Woromo, Kelapa Hutan yang Bentuk dan Rasanya Unik",0
Sisi Gelap 5G Bisa Mengancam Individu dan Negara,0
Resep Lidah Kucing ala Farah Quinn untuk Lebaran,0
Wali Kota Bogor Bima Arya Positif Corona,0
"Bukan soal Putrinya, Bill Clinton Tegaskan 'The President's Daughter' Fiksi",0
"5 Teori Konspirasi Terheboh Sepanjang Masa, Bumi Datar hingga Virus Corona",0
"Tak Ada 'Inang-inang', Penukaran Uang Lebaran Ramai di Toko Online",0
Video Pengendara Motor Terseret Arus Banjir di NTT,1
Link Kuota Belajar Kemendikbud 75 GB dan Subsidi Pulsa 250 Ribu,1
"Waspada Corona, Warga Diminta Pakai Masker Naik Transportasi Umum",0
Pemerintah Ingin Bandara Kediri Tersambung Tol,0
Akun WhatsApp Mengatasnamakan Dinas Sosial Kota Balikpapan,1
"Gaya Liburan Pacar Baru Ryan Giggs, Si DJ Seksi",0
China Mulai Menggunakan Vaksin Corona yang Dapat Dihirup,1
Polsek Tampan Panam Telah Menemukan 40 Motor di Tempat Penadah,1
Komisi III Akan Pertemukan Jaksa Agung-Komnas HAM Bahas Kasus HAM Berat,0
Menhub: Larangan Terbang ke Wuhan China Diperkirakan Hingga Satu Bulan,0
Hanya Cukup Punya E-KTP Saja,1
Kebanyakan Minum Susu Kental Manis Bisa Menyebabkan Kegemukan,1
"Bukan Buat Cicilan, Cita Citata Jual Baju Bekasnya untuk Apa?",0
Akun WhatsApp Mengatasnamakan Kepala DPKPCK Kabupaten Bojonegoro,1
Pengumuman! Layanan Penjualan Tiket Pelni Dibuka,0
"Total Pasien Corona Indonesia 181 Meninggal, 134 Sembuh, Ini Sebarannya",0
"Karantina di Rumah, Model Playboy Ini Hampir Mati Diterjang Tornado",0
Viral Video Tenaga Medis Hibur Diri Bikin Parodi Titanic Saat Pandemi Corona,0
Aulia Farhan Ngaku Diajak Pakai Sabu Lewat Teman di Luar Profesi Artis,0
Evan Dimas Dinaturalisasi ke Brunei Darussalam,1
KPK-Kejari Dairi Tetapkan Anggota DPRD Sumut Tersangka Korupsi Sawah,0
Perluasan Bandara Sam Ratulangi Diperuntukkan Buat Rakyat Tiongkok/China,1
Situasi Terkini KRL Jelang New Normal,0
Video Presiden Jokowi Tegur SWI OJK karena Susahkan Rakyat di Masa Pandemi,1
Akun WhatsApp Mengatasnamakan Wakil Bupati Pinrang,1
Obat Viagra Dapat Menyembuhkan Covid-19,1
Video Awan Putih Jatuh di Aceh,1
"Mobil Hybrid Tak Dapat Perlakuan Spesial, Merasa Dianaktirikan?",0
"Tak Cemas Wabah Corona, Ari Wibowo Komentari Soal Kematian Akibat Rokok",0
Wapres Marah soal Insiden Paspampres-Petugas di Jakbar,1
Fenomena Hujan Jeli di Gorontalo,1
Peninggi Badan Alami dengan Asupan dari 5 Makanan Enak Ini,0
"KPK Geledah Rumah Raffi Ahmad, Temukan Bukti Pencucian Uang",1
Irrfan Khan Meninggal Dunia 4 Hari Setelah Sang Ibunda,0
Pesan Mengatasnamakan Profesor Suparman Usman Ajak Masyarakat Boikot Google dan YouTube,1
Gedung Putih AS Disebut Dimasuki Para Demonstran,1
Artikel CNBC Sebut Wamenaker Minta Masyarakat Sumbangan karena Kas Kosong,1
Cerita Pendakian Gunung Sumbing di Jalur Batursari,0
Terpampang Spanduk TNI Menyiapkan Sarapan Gratis Untuk Peserta Reuni 212,1
"Pesan WhatsApp Mengatasnamakan Wali Kota Blitar Drs. H. Santoso, M.Pd",1
Informasi Jadwal Razia Kendaraan Bermotor di Batam,1
"Listrik Padam di Jabar, Banten dan DKI karena Gempa",1
"Masa Transisi PSBB: Jam Operasional TransJ-MRT Normal Lagi, Kapasitas 50%",0
Kecelakaan Akibat Daun Berpaku,1
Paru- Paru Membaik dengan Soda,1
Akun WhatsApp Mengatasnamakan Kasubbag TU Kementerian Agama Kabupaten Gunungkidul,1
Potret Mantan Negara Terkaya Dunia yang Dikutuk Dewa,0
Raja Thailand Isolasi Diri dengan 20 Wanita di Hotel Mewah Jerman,0
Enam Jenderal TNI Ditangkap karena Menjadi “Beking” Panji Gumilang,1
"Muncul Isu Manipulasi, Surat Anies Akhirnya Direvisi",0
Ambulans NU Bantuan dari China Dikaitkan dengan Penindasan Muslim Uighur,1
Foto WNA Berhamburan di Bandara Udara Soekarno-Hatta Tinggalkan Indonesia karena Demonstrasi,1
Marinir Amerika Serikat Mendukung Papua Lepas dari NKRI,1
Olahraga Sore di Monas,0
Akun Facebook Palsu Mengatasnamakan Bupati Pasangkayu,1
Daerah Rawan Klitih di Yogyakarta,1
RI Bakal Produksi 16 Ribu APD Per Hari,0
"6 Warga di Luwu Utara Sulsel Positif Corona, Jumlah Kasus Jadi 40",0
"Hikmah Sholat Tarawih di Rumah, Gus Miftah: Agar Tidak Pamer",0
Deretan Foto Lapas Wakefield Tempat Reynhard Sinaga Dipenjara,0
Pernyataan Teddy Gusnaidi Sebut Anies Baswedan Bodoh dan Dungu,1
Bikin Masker Sendiri? Perhatikan 4 Hal Ini Biar Efektif Cegah Corona,0
Ketua KPU Cium Tangan OSO,1
Polri soal Motif Zuraida Hanum Bunuh Hakim Jamaluddin: Sakit Hati Mau Dicerai,0
"Bos OYO, Drop Out dari Kampus hingga Punya Ribuan Hotel di Dunia",0
Djarot Pertanyakan Pengacara Bandingkan Kondisi Habib Bahar dengan Ahok,0
Video Pasien Covid-19 Dijemput Taksi ke Wisma Atlet,1
Walkot Hendi: Sedulur Semarang Sebaiknya Urungkan Niat Mudik,0
"Taharrush, Budaya Pemerkosaan Massal Kuno Ala Bangsa Arab Menyebar ke Eropa",1
Informasi Rekrutmen Mengatasnamakan PT Pegadaian,1
Surat Pengumuman Perubahan Tarif Transfer Antar Bank dari Bank Syariah Indonesia,1
"Ditangkap Polisi, Puluhan Preman di Medan Dihukum Bersihkan Sungai Deli",0
"Mahasiswi USU Wafat di Perjalanan ke RS Rujukan Corona, Ada Gejala Pneumonia",0
Video Ustaz Dibegal di Lampung,1
"Sepinya Banda Aceh di Hari Pertama Ramadhan, Toko Tutup-Jalanan Lengang",0
6 Instruksi Penting Jokowi dalam Pembangunan Ibu Kota Baru,0
Foto Anies Baswedan Serahkan Uang Pribadi ke Dubes Palestina,1
"Update Kasus Corona di DKI 23 April: 3.506 Positif, 292 Sembuh, 316 Meninggal",0
Rekrutmen RS Islam Aisyiyah Malang,1
"Ngobrol Bareng Geraldine Viswanathan, Pemeran 'Miracle Workers'",0
Video Derasnya Arus Kali Ciliwung,1
"Melawan Lupa, Kasus Ratusan Bus Way Dibeli dari Cina Terbakar di Zaman Ahok",1
"Para Artis Akui Hamili Istri Sebelum Nikah, Psikolog: Itu Justru Berbahaya",0
"Nomor WhatsApp Mengatasnamakan Kapolres Kutai Barat AKBP Heri Rusyaman, S.I.K., M.H.",1
Telur Ikan Berbahaya bagi Kesehatan,1
"Diisukan Kembali Positif Corona, Menhub Budi Karya Dalam Kondisi Sehat",0
Cerita Kocak Fiersa Besari Ngemis Centang Biru di Twitter,0
Dee Lestari Siap Luncurkan Kelas Menulis Daring Batch Kedua,0
Jus Pare Bisa Menyembuhkan Virus Corona,1
"Pengakuan Mantan Menkes, Siti Fadilah Supari “Sudah Sering Kena Covid-19 Sejak Dulu”",1
Presiden Jokowi Menunjuk Ahok sebagai Gubernur DKI Jakarta pada Agustus 2023,1
"Berkat Telkomsel, Laba Telkom Tembus Rp 18,6 T",0
"Izin PSBB dan Pertambahan Corona di DKI Disorot, Ombudsman Dorong Evaluasi",0
DPRD Minta Pemko Medan Tak Cuma Beri 5 Kg Beras ke Warga Terdampak Corona,0
"Fera Queen Meninggal, Pesan Terakhir Bicara soal YouTube",0
Tanggul di Perumahan Citayam Jebol Bikin 33 Rumah Terendam Banjir,0
